,GSP,DemandPk,DemandAM,DemandPM
233,B_EXTRA_85,45.0,45.0,45.0
234,B_EXTRA_86,28.0,28.0,28.0
235,B_EXTRA_87,0.0,0.0,0.0
236,B_EXTRA_88,0.0,0.0,0.0
237,B_EXTRA_89,0.0,0.0,0.0
238,B_EXTRA_9,5.0,5.0,5.0
239,B_EXTRA_90,0.0,158.593,475.778
240,B_EXTRA_91,0.0,24.25,72.751
241,B_EXTRA_92,0.0,0.0,0.0
242,B_EXTRA_93,0.0,0.0,0.0
243,B_EXTRA_94,0.0,0.0,0.0
244,B_EXTRA_95,0.0,0.0,0.0
245,B_EXTRA_96,0.0,0.0,0.0
246,B_EXTRA_97,0.0,0.0,0.0
247,B_EXTRA_98,0.0,0.0,0.0
248,B_EXTRA_99,0.0,0.0,0.0
249,CAAD_P,18.669999999999998,14.497,20.363
250,CAFA,0.0,0.0,0.0
251,CAMB_01,33.583999999999996,0.41400000000000003,18.011
252,CANTN1,191.48399999999998,72.417,154.749
253,CAPEA1,294.41700000000003,92.50999999999999,115.072
254,CARE_1,122.757,57.379,77.261
255,CARR_1,289.595,108.62700000000001,134.267
256,CASS_P,1.76,1.066,1.8559999999999999
257,CATY,21.012,5.838,12.507
258,CBNK_H,27.232,14.667,19.066
259,CEAN_P,1.4300000000000002,0.026000000000000002,0.15100000000000002
260,CELL_1,557.704,193.036,258.873
261,CHAP,26.55762,0.37758,1.63386
262,CHAR_P,20.045,8.661,11.602
263,CHAS,57.274,19.587000000000003,42.007
264,CHIC_1,87.39,25.115,61.58
265,CHSI_1,228.184,71.605,103.354
266,CHTE_1,467.682,166.283,233.784
267,CITR_1,613.83,288.144,350.28799999999995
268,CLAC_P,3.426,6.285,8.361
269,CLAY_P,25.858,29.515,73.282
270,CLT03,72.258,93.947,40.916
271,CLYM,66.89,21.771,45.616
